"nom_de_la_marque_du_produit","count"
"INTEXTRED","2"
"MADRANGE","2"
"TVT","2"
"Medina Halal","2"
"SNIPER","2"
"ARTHUR MARTIN","2"
"BE HAPPY /SARL JOURDAIN","2"
"ANDRE BAZIN","2"
"Carte Nature","2"
"Karma","2"
"LE MARSIGNY","2"
"PEDONE GLACIER / ANGELINA","2"
"MesEpices.com","2"
"Daunat","2"
"sans marque (vendu au rayon libre service emballé sur place)","2"
"Planète au Naturel","2"
"BLEU DU VERCORS SASSENAGE","2"
"Solevita","2"
"NOUS Antigaspi","2"
"PRIX MINI","2"
"BOUTON D'OR","2"
"Jolivia","2"
"Coste Canet","2"
"LA ALEGRIA","2"
"Petit Marché","2"
"Huggy Wuggy","2"
"A PEGURELLA","2"
"LINCET","2"
"La Marque de nos Eleveurs - Bioporc","2"
"PANZANI","2"
"Playtive","2"
"BOMARTS","2"
"Capitaine Cook","2"
"AU JAMBON DE BOURGOGNE","2"
"Fendt","2"
"Kitchen regal","2"
"LES HERBES DE MON PERE","2"
"FLORA NATURA","2"
"SYNPHONAT","2"
"123gelules","2"
"MOUSQUETON","2"
"CARREFOUR SELECTION DE NOS BOUCHERS","2"
"LA MOLE","2"
"CASINO DELICES","2"
"Domair","2"
"Chêne d'Argent","2"
"LOSC","2"
"EPICEA","2"
"Forest Toys","2"
"TALLEC","2"
"Isuzu","2"
"Huilerie Vernoilaise","2"
"Petit génie","2"
"JARDIN BIO ETIC","2"
"Feunix","2"
"Fabrication magasin","2"
"P'TIT GOURMAND","2"
"COLONA","2"
"LAITERIE DE LA VALLEE DE MUNSTER","2"
"Vrac","2"
"ESCALE GOURMANDE","2"
"MAVIDIS","2"
"Nam Meo","2"
"Carrefour Sélection","2"
"INELDEA SANTE NATURELLE","2"
"Chez Pinpin","2"
"LEXIBOOK SA","2"
"le grenier des gastronomes","2"
"Carrefour SIMPL","2"
"Ici en Chartreuse","2"
"Tous les jours","2"
"Cloche d'Or","2"
"Alfa Romeo","2"
"ROYAL CORNETTO","2"
"Carte d'Or","2"
"Nautica","2"
"fromage frais","2"
"Votre Volailler","2"
"Comme des Papas","2"
"TROIS KILOS SEPT","2"
"En Cuisine","2"
"Sarl Henri Domont","2"
"Altiflore","2"
"Brioche Pasquier","2"
"TRADILEGE","2"
"SCEA du VIEUX GRIMBOSQ","2"
"LABORATOIRE CODE","2"
"Disfrais","2"
"LES VIGNES MARINES","2"
"JAUBERT","2"
"D-LAB NUTRICOSMETICS","2"
"la ferme de la sablonniere","2"
"MAISON DU FROMAGE","2"
"Nature's Best Harvest","2"
"Smyths Toys","2"
"LE BURON","2"
"DENTAL GURU","2"
"MOA","2"
"MIKO CLASSIC","2"
"FACYL","2"
"Produit du Terroir","2"
"LA BEAUTE BIO ENGAGEE","2"
"Alesto","2"
"B&M FRANCE SAS","2"
"Marie Morin","2"
"Les Bonnes Canailles","2"
"La Fourche","2"
"L'Atelier du Poissonnier","2"
"Paul et Ferdinand","2"
"Curcumaxx C+","2"
"Les Escargots du Quercy","2"
"MTC","2"
"MARKWINS","2"
"MAÎTRE COQ","2"
"EAU YEAH","2"
"DESPI","2"
"DUKAN","2"
"ACCASTILLAGE DIFFUSION BY PLASTIMO","2"
"HT26 Paris","2"
"Non précisée","2"
"Belle France","2"
"Celsior","2"
"Boulangerie YONG","2"
"Chaleur Créole","2"
"Feu Vert","2"
"Sélection du fromager","2"
"VOLKSWAGEN","2"
"Mont Elephant","2"
"VITALYS ALPES","2"
"SUNTAT","2"
"Maison Prolainat","2"
"CROCELLA","2"
"VIEIRA DE CASTRO","2"
"COTE TABLE","2"
"GAEC LA BAROTIERE","2"
"MONTOSCO","2"
"Auchan Le Poissonnier","2"
"VOLANDRIE","2"
"CAMPO TIERRA","2"
"Alvalle","2"
"TANOSHI","2"
"OLIOSEPTIL","2"
"Candia","2"
"RELAIS GOURMAND","2"
"DIXY","2"
"ANGELINA","2"
"MAISON TINO","2"
"METRO PROFESSIONAL","2"
"DS, Peugeot","2"
"Non concerné","2"
"Joël CATHERINE","2"
"Phytofrance","2"
"Id'halal","2"
"Party Factory","2"
"CREEKS","2"
"Maison Bareil","2"
"Miel BESACIER","2"
"Fabriqué sur place","2"
"HERR FOODS INC","2"
"EPICURILLADES","2"
"KINDER SURPRISE","2"
"MAXXE","2"
"Prophar","2"
"Isigny Sainte-Mère","2"
"Ferme du Ciron","2"
"PRODUCTEURS & COMMERCANTS","2"
"GERBLE SANS GLUTEN","2"
"LUDI","2"
"Leclerc Aire sur la Lys","2"
"Monique RANOU","2"
"LAPHT PHYTOFRANCE","2"
"CARREFOUR et CARREFOUR EXTRA","2"
"LAXURIA","2"
"CHEVRIGNY - CHEVRIER DES CRAYS","2"
"E. Chavassieux","2"
"Kukulu, Ezpela, Tomme d'Espelette, Kalaka","2"
"Hostess","2"
"PHYSIOMINS","2"
"Maison Sapresti","2"
"PUIGRENIER","2"
"RODA","2"
"SEVRE ET BELLE","2"
"HONDA","2"
"NABAIJI","2"
"Royal Canin","2"
"DISTRIFORM","2"
"La touche du chef","2"
"PP Blanc","2"
"L'escargot de Cendrey","2"
"MONS","2"
"ENEFIS","2"
"ZERGIL","2"
"Mon Marché Plaisir","2"
"Sentosphère","2"
"Huitres","2"
"Disney","2"
"Le Minaret","2"
"Laboratoire Lescuyer","2"
"MILSANI","2"
"Sélection du Volailler","2"
"Sungreen","2"
"Vemondo","2"
"NONGSHIM","2"
"HUSQVARNA","2"
"Nature's best harvest","2"
"Excellence","2"
"Jean Maziere","2"
"Castolin","2"
"ELYDAN","2"
"FOU d'BOIS","2"
"MAITRE COCHON","2"
"Bjorg","2"
"P’TIT DELI","2"
"Energizer","2"
"L'Atelier de CHATEAUBOURG","2"
"Produits fabriqués par BISCUITERIE DE BOURGOGNE et/ou portant le code emballeur : EMB 89208A","2"
"STIRATINI","2"
"TQF COLLECTION","2"
